Tingkat Pendidikan,Pertanian Kehutanan dan Perikanan,Pertambangan dan Penggalian,Industri Pengolahan,Pengadaan Listrik dan Gas,Pengadaan Air Pengelolaan Sampah Limbah dan Daur Ulang,Konstruksi,Perdagangan Besar dan Eceran Reparasi Perawatan Mobil dan Motor,Transportasi dan Pergudangan,Penyediaan Akomodasi dan Makan Minum,Informasi dan Komunikasi,Jasa Keuangan dan Asuransi,Real Estat,Jasa Perusahaan,Administrasi Pemerintahan Pertahanan dan Jaminan Sosial Wajib,PJasa Pendidikan,Jasa Kesehatan dan Kegiatan Sosial,Jasa Lainnya
Tidak/Belum Pernah Sekolah,1337823,1397238,1108365,2735901.0,1585560.0,2554083,1622412,1521120.0,1225288,1787826.0,1537404.0,1633331.0,1356654,1254775,894072.0,1221495.0,1808078
Tidak/Belum Tamat SD,1552685,2157450,1469014,2735901.0,1585560.0,2611569,1660479,1521120.0,1450771,1787826.0,1704598.0,2146555.0,1749980,877845,894072.0,2138953.0,1098112
SD,2010261,2640920,1912039,3318130.0,1585560.0,2550100,1911190,2472852.0,1518263,2014637.0,1537404.0,1633331.0,1698986,1381168,1472888.0,1327361.0,1425749
SMP,2158120,3003361,2353983,3332933.0,1767365.0,2606026,2025510,2577144.0,1745550,1787826.0,2346461.0,2916438.0,2164350,2533296,1249360.0,1221495.0,1726951
SMU,2682598,4657206,3124337,3656067.0,2434460.0,3227935,2424225,3547549.0,2256317,2759153.0,2884858.0,3387972.0,2998026,3208169,1281708.0,2581206.0,1985617
SMK,2470487,5136466,3253737,3597664.0,3363147.0,3309285,2522247,3356625.0,2383293,3182721.0,3074623.0,3777464.0,3122446,3151758,1653613.0,2390704.0,2066238
Diploma I/II/III/Akademi,3140914,7640971,4973460,5984369.0,3202461.0,5452337,3403412,6589343.0,3363201,5102648.0,4517705.0,1633331.0,4722366,3442020,2136150.0,3131506.0,3062115
Universitas,3622096,10751077,6217208,6873488.0,4569509.0,7039275,4631883,7361544.0,3717459,6677372.0,7029593.0,12055554.0,6116555,5023108,2874966.0,5029986.0,3723561
